"Report Written:","14:50 Friday, December 12, 2025"
"Design Path:","SeedSigner_2.8Inch-LCD-Hat_V906727.pcb"
"Design Title:",
"Created:","10/11/2024 10:57:23"
"Last Saved:","12/12/2025 14:41:36"
"Editing Time:","803 min"
"Units:","mm (precision 1)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"R2","1","0805","0","SM","","C269738","","",""
"R1","1","0805","0","SM","","C269738","","",""
"R3","1","0805","0","SM","","C269738","","",""
"R4","1","0805","0","SM","","C269738","","",""
"R12","1","0805","5K1","SM","","C144553","","",""
"R13","1","0805","5K1","SM","","C144553","","",""
"R5","1","0805","10K","SM","","C17414","","",""
"R10","1","0805","33K","SM","","C17633","","",""
"R8","1","0805","62","SM","","C2933559","","",""
"R7","1","0805","62","SM","","C2933559","","",""
"R6","1","0805","62","SM","","C2933559","","",""
"R9","1","0805","330","SM","","C2907321","","",""
"C1","1","C0805","100nF","SM","","C1711","","",""
"C2","1","C0805","100nF","SM","","C1711","","",""
"CONN1","1","Ips 2.8 Inch 40pin Spi Tft Lcd","","USER","","None","","","Ips 2.8 Inch 40pin Spi Tft Lcd"
"CONN2","1","Liansheng FH-00369","","USER","","C2685112","","","Liansheng FH-00369"
"J8","1","PTS636_SM25F_SMTR_LFS","","PTS636SM25FSMTRLFS","C & K COMPONENTS","C2689642","","","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 2.5mm H, 180gf, F leads, No ground pin, White Actuator"
"J7","1","PTS636_SM25F_SMTR_LFS","","PTS636SM25FSMTRLFS","C & K COMPONENTS","C2689642","","","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 2.5mm H, 180gf, F leads, No ground pin, White Actuator"
"J6","1","PTS636_SM25F_SMTR_LFS","","PTS636SM25FSMTRLFS","C & K COMPONENTS","C2689642","","","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 2.5mm H, 180gf, F leads, No ground pin, White Actuator"
"J9","1","PTS636_SM25F_SMTR_LFS","","PTS636SM25FSMTRLFS","C & K COMPONENTS","C2689642","","","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 2.5mm H, 180gf, F leads, No ground pin, White Actuator"
"J10","1","PTS636_SM25F_SMTR_LFS","","PTS636SM25FSMTRLFS","C & K COMPONENTS","C2689642","","","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 2.5mm H, 180gf, F leads, No ground pin, White Actuator"
"J4","1","PTS636_SM25F_SMTR_LFS","","PTS636SM25FSMTRLFS","C & K COMPONENTS","C2689642","","","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 2.5mm H, 180gf, F leads, No ground pin, White Actuator"
"J3","1","PTS636_SM25F_SMTR_LFS","","PTS636SM25FSMTRLFS","C & K COMPONENTS","C2689642","","","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 2.5mm H, 180gf, F leads, No ground pin, White Actuator"
"J5","1","PTS636_SM25F_SMTR_LFS","","PTS636SM25FSMTRLFS","C & K COMPONENTS","C2689642","","","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 2.5mm H, 180gf, F leads, No ground pin, White Actuator"
"Q5","1","SOT23","SI2302 SOT23-3","SM","","C5296725","","",""
"J11","1","TYPE-C-31-M-12","","HRO_TYPE-C-31-M-12","","C165948","","",""
"J2","1","ZF5S-40-01-T-WT","","SAMTEC_ZF5S-40-01-T-WT","","C262648","","",""
