Comment,Designator,Footprint,LCSC,Quantity
10k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,1
0R,"R1,R4",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17477,2
330R,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630,1
33k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17633,1
47R,"R6,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17714,3
Q_NMOS_GSD,Q1,SOT-23,C20917,1
62684-402100ALF,J2,AMPHENOL_62684-402100ALF,C262648,1
Raspberry_Pi_2_3,J4,PinSocket_2x20_P2.54mm_Vertical_SMD,C2685112,1
5K1,"R12,R13",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
SW_Push,"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8",SW_SPST_FSMSM,C318938,8
100n,"C1,C2",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,2
USB_C_Receptacle_PowerOnly_6P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-17,C668623,1
