Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.14,-103.94,180.0,bottom
C2,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.54,-111.04,180.0,bottom
J1,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_HRO_TYPE-C-31-M-17,96.51,-119.845,0.0,bottom
J2,62684-402100ALF,AMPHENOL_62684-402100ALF,131.9525,-98.54,90.0,bottom
J4,Raspberry_Pi_2_3,PinSocket_2x20_P2.54mm_Vertical_SMD,139.07,-80.46,0.0,bottom
Q1,Q_NMOS_GSD,SOT-23,123.14,-107.44,180.0,bottom
R1,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.24,-87.12,0.0,bottom
R10,33k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.14,-110.94,180.0,bottom
R12,5K1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.13,-113.46,0.0,bottom
R13,5k1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,100.99,-113.47,180.0,bottom
R2,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.24,-89.36,0.0,bottom
R3,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.25,-87.12,180.0,bottom
R4,0R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,127.25,-89.36,0.0,bottom
R5,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.14,-101.41,180.0,bottom
R6,47R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.14,-93.85,180.0,bottom
R7,47R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.14,-96.38,180.0,bottom
R8,47R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.14,-98.93,180.0,bottom
R9,330R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,123.14,-113.47,180.0,bottom
SW1,SW_Push,SW_SPST_FSMSM,176.88,-88.26,0.0,top
SW2,SW_Push,SW_SPST_FSMSM,176.88,-98.53,0.0,top
SW3,SW_Push,SW_SPST_FSMSM,176.88,-108.86,0.0,top
SW4,SW_Push,SW_SPST_FSMSM,84.47,-98.544,90.0,top
SW5,SW_Push,SW_SPST_FSMSM,94.92,-98.544,90.0,top
SW6,SW_Push,SW_SPST_FSMSM,84.47,-88.05,180.0,top
SW7,SW_Push,SW_SPST_FSMSM,73.98,-98.544,90.0,top
SW8,SW_Push,SW_SPST_FSMSM,84.47,-108.97,180.0,top
